Change Physical Footprint: Designator=TP45 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP46 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP47 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP48 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP49 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP50 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=U1 Old Footprint=AQFN40P700X700X85_HS-99N New Footprint=AQFN40P700X700X85_HS-99N
Change Physical Footprint: Designator=U2 Old Footprint=SOP65P640X120-20N New Footprint=SOP65P640X120-20N
Change Physical Footprint: Designator=U3 Old Footprint=QFN50P400X400X100-25N-D New Footprint=QFN50P400X400X100-25N-D
Change Physical Footprint: Designator=U4 Old Footprint=SOP65P490X110-9N New Footprint=SOP65P490X110-9N
Change Physical Footprint: Designator=U5 Old Footprint=SOP65P490X110-9N New Footprint=SOP65P490X110-9N
Change Physical Footprint: Designator=U6 Old Footprint=TPS54202DDCR New Footprint=TPS54202DDCR
Change Physical Footprint: Designator=U7 Old Footprint=SOT95P280X145-5N New Footprint=SOT95P280X145-5N
Change Physical Footprint: Designator=U8 Old Footprint=SOT95P280X145-5N New Footprint=SOT95P280X145-5N
Change Physical Footprint: Designator=U9 Old Footprint=SOIC127P600X175-8N New Footprint=SOIC127P600X175-8N
Change Physical Footprint: Designator=U10 Old Footprint=SOIC127P600X175-8N New Footprint=SOIC127P600X175-8N
Change Physical Footprint: Designator=U11 Old Footprint=SOP65P640X120-29N New Footprint=SOP65P640X120-29N
Change Physical Footprint: Designator=U12 Old Footprint=SOP65P640X120-29N New Footprint=SOP65P640X120-29N
Change Physical Footprint: Designator=X1 Old Footprint=CRYOSC_3.2X2.5M New Footprint=CRYOSC_3.2X2.5M
