Altium Designer Pick and Place Locations
C:\Users\kavin\Desktop\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Driver\Project Outputs for Free Documents\Pick Place\Pick Place for PCB(Fabrication Variant).txt

========================================================================================================================
File Design Information:

Date:       16/09/26
Time:       18:59
Revision:   001faec4ccd30f65ce1fd190df22033bef97a918
Variant:    Fabrication Variant
Units used: mil

Designator Comment              Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                              
R27        11k                  TopLayer RECS0603X45N                 4187.000      1771.000      180      "C728581, RT0603BRD0711KL, -55?~+155? 100mW 11kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R26        11k                  TopLayer RECS0603X45N                 3878.937      1780.512      90       "C728581, RT0603BRD0711KL, -55?~+155? 100mW 11kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R25        100k                 TopLayer RECS0603X45N                 3998.000      1771.000      0        "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R24        11k                  TopLayer RECS0603X45N                 3997.047      2080.709      0        "C728581, RT0603BRD0711KL, -55?~+155? 100mW 11kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R23        5.6k                 TopLayer RECS0603X45N                 4112.205      2080.709      0        "C179095, RT0603BRD075K6L, -55?~+155? 100mW 5.6kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R22        5.6k                 TopLayer RECS0603X45N                 3821.850      2075.787      0        "C179095, RT0603BRD075K6L, -55?~+155? 100mW 5.6kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R21        11k                  TopLayer RECS0603X45N                 3557.087      2074.803      0        "C728581, RT0603BRD0711KL, -55?~+155? 100mW 11kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R20        11k                  TopLayer RECS0603X45N                 4305.000      2080.000      0        "C728581, RT0603BRD0711KL, -55?~+155? 100mW 11kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R19        11k                  TopLayer RECS0603X45N                 3974.409      2157.480      0        "C728581, RT0603BRD0711KL, -55?~+155? 100mW 11kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R18        13.3k                TopLayer RECS0603X45N                 1697.000      410.000       270      "C185373, RC0603FR-0713K3L, -55?~+155? 100mW 13.3kO 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                       
